Date,Open,High,Low,Close,Volume,Market Cap
"Oct 26, 2016",0.1357,0.16963,0.121312,0.129615,494772.00,6785000.00
"Oct 27, 2016",0.129608,0.140409,0.124055,0.127426,169528.00,6480400.00
"Oct 28, 2016",0.127447,0.159842,0.12378,0.151552,545958.00,6372350.00
"Oct 29, 2016",0.151237,0.176248,0.151237,0.170166,714101.00,7561850.00
"Oct 30, 2016",0.172946,0.18382,0.170264,0.181026,377793.00,8647300.00
"Oct 31, 2016",0.18161,0.229291,0.177568,0.228251,917488.00,9080500.00
"Nov 01, 2016",0.228232,0.239149,0.204285,0.211322,411699.00,11411600.00
"Nov 02, 2016",0.214646,0.219169,0.191732,0.197941,242163.00,10732300.00
"Nov 03, 2016",0.197962,0.19817,0.155788,0.173534,265799.00,9898100.00
"Nov 04, 2016",0.173574,0.183584,0.168351,0.175917,123337.00,8678700.00
"Nov 05, 2016",0.175934,0.181375,0.156657,0.160797,165265.00,8796700.00
"Nov 06, 2016",0.1608,0.16817,0.15675,0.164002,52679.00,8040000.00
"Nov 07, 2016",0.163957,0.174019,0.143322,0.173087,264007.00,8197850.00
"Nov 08, 2016",0.173073,0.173376,0.160523,0.161594,64487.00,8653650.00
"Nov 09, 2016",0.161599,0.166946,0.156541,0.159859,51101.00,8079950.00
"Nov 10, 2016",0.159342,0.179854,0.154536,0.168272,226859.00,7967100.00
"Nov 11, 2016",0.168293,0.181036,0.165815,0.176226,92296.00,8414650.00
"Nov 12, 2016",0.172603,0.179612,0.166288,0.168695,38920.00,8630150.00
"Nov 13, 2016",0.168699,0.172853,0.163703,0.169917,47661.00,8434950.00
"Nov 14, 2016",0.170347,0.196291,0.168508,0.183786,161342.00,8517350.00
"Nov 15, 2016",0.183863,0.183864,0.172835,0.173875,58217.00,9193150.00
"Nov 16, 2016",0.173875,0.177754,0.153992,0.162529,52767.00,8693750.00
"Nov 17, 2016",0.162654,0.177109,0.16256,0.17328,115600.00,8132700.00
"Nov 18, 2016",0.173267,0.196769,0.16942,0.172177,170258.00,8663350.00
"Nov 19, 2016",0.172135,0.17649,0.168427,0.169928,20977.00,8606750.00
"Nov 20, 2016",0.169929,0.171309,0.161549,0.170999,6888.00,8496450.00
"Nov 21, 2016",0.171,0.174966,0.169408,0.173476,13977.00,8550000.00
"Nov 22, 2016",0.173474,0.17422,0.167397,0.168892,30457.00,8673700.00
"Nov 23, 2016",0.168883,0.172495,0.16694,0.167085,18866.00,8444150.00
"Nov 24, 2016",0.167006,0.186579,0.165703,0.171955,252878.00,8350300.00
"Nov 25, 2016",0.171903,0.191663,0.171885,0.174514,148809.00,8595150.00
"Nov 26, 2016",0.174608,0.185637,0.173892,0.174141,53456.00,8730400.00
"Nov 27, 2016",0.174134,0.179557,0.173007,0.17305,34618.00,8706700.00
"Nov 28, 2016",0.173073,0.175046,0.166608,0.167994,92873.00,8653650.00
"Nov 29, 2016",0.167861,0.167909,0.141612,0.149953,121979.00,8393050.00
"Nov 30, 2016",0.149963,0.150848,0.140499,0.144636,63418.00,7498150.00
"Dec 01, 2016",0.144522,0.144846,0.138559,0.140114,62769.00,7226100.00
"Dec 02, 2016",0.140119,0.145737,0.138452,0.141991,69742.00,7005950.00
